county,year,irrigation,variable,stage,value
Sumter,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Flowering,33.90958333
Sumter,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Cut-Out,32.32852941
Sumter,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,25.94692308
Sumter,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.21505682
Sumter,2020,irrigated,Mean-Vapor Pressure (Pa),Emergence,1803.83
Sumter,2020,irrigated,Mean-Vapor Pressure (Pa),Vegetative,2267.336944
Sumter,2020,irrigated,Mean-Vapor Pressure (Pa),Squaring,2606.290833
Sumter,2020,irrigated,Mean-Vapor Pressure (Pa),Flowering,2678.295
Sumter,2020,irrigated,Mean-Vapor Pressure (Pa),Cut-Out,2602.942647
Sumter,2020,irrigated,Mean-Vapor Pressure (Pa),Opening Bolls,1783.860962
Sumter,2020,irrigated,Mean-Vapor Pressure (Pa),Total Growing Season,2275.784034
Pulaski,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,99.43017049
Pulaski,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,662.035457
Pulaski,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,479.0519707
Pulaski,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,397.1281351
Pulaski,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,525.8577293
Pulaski,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,659.3155327
Pulaski,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2822.818995
Pulaski,2020,irrigated,Accumulated-Days Degree,Emergence,80.45
Pulaski,2020,irrigated,Accumulated-Days Degree,Vegetative,577.464
Pulaski,2020,irrigated,Accumulated-Days Degree,Squaring,448.977
Pulaski,2020,irrigated,Accumulated-Days Degree,Flowering,437.503
Pulaski,2020,irrigated,Accumulated-Days Degree,Cut-Out,631.594
Pulaski,2020,irrigated,Accumulated-Days Degree,Opening Bolls,525.16
Pulaski,2020,irrigated,Accumulated-Days Degree,Total Growing Season,2701.148
Pulaski,2020,irrigated,Accumulated-Precipitation (mm),Emergence,67.81
Pulaski,2020,irrigated,Accumulated-Precipitation (mm),Vegetative,68.53
Pulaski,2020,irrigated,Accumulated-Precipitation (mm),Squaring,92.17
Pulaski,2020,irrigated,Accumulated-Precipitation (mm),Flowering,128.92
Pulaski,2020,irrigated,Accumulated-Precipitation (mm),Cut-Out,222.32
Pulaski,2020,irrigated,Accumulated-Precipitation (mm),Opening Bolls,48.25
Pulaski,2020,irrigated,Accumulated-Precipitation (mm),Total Growing Season,628
Pulaski,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Emergence,17.19833333
Pulaski,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Vegetative,19.99542857
Pulaski,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Squaring,21.96166667
Pulaski,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Flowering,22.24652174
Pulaski,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Cut-Out,21.724
Pulaski,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,14.49893617
Pulaski,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.31511765
Pulaski,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Emergence,29.72
Pulaski,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.91114286
Pulaski,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Squaring,33.95875
Pulaski,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Flowering,34.10695652
Pulaski,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Cut-Out,31.548
Pulaski,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,26.76744681
Pulaski,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.71723529
Pulaski,2020,irrigated,Mean-Vapor Pressure (Pa),Emergence,1968.08
Pulaski,2020,irrigated,Mean-Vapor Pressure (Pa),Vegetative,2350.86
Pulaski,2020,irrigated,Mean-Vapor Pressure (Pa),Squaring,2640.41125
Pulaski,2020,irrigated,Mean-Vapor Pressure (Pa),Flowering,2686.095652
Pulaski,2020,irrigated,Mean-Vapor Pressure (Pa),Cut-Out,2606.459429
Pulaski,2020,irrigated,Mean-Vapor Pressure (Pa),Opening Bolls,1711.33617
Pulaski,2020,irrigated,Mean-Vapor Pressure (Pa),Total Growing Season,2299.397235
Macon,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,218.9597055
Macon,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,705.7130212
Macon,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,450.8933953
Macon,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,479.904599
Macon,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,554.4041116
Macon,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,721.2383557
Macon,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,3131.113188
Macon,2020,dryland,Accumulated-Days Degree,Emergence,81.612
Macon,2020,dryland,Accumulated-Days Degree,Vegetative,577.382
Macon,2020,dryland,Accumulated-Days Degree,Squaring,440.778
Macon,2020,dryland,Accumulated-Days Degree,Flowering,454.17
Macon,2020,dryland,Accumulated-Days Degree,Cut-Out,626.816
Macon,2020,dryland,Accumulated-Days Degree,Opening Bolls,606.891
Macon,2020,dryland,Accumulated-Days Degree,Total Growing Season,2787.649
Macon,2020,dryland,Accumulated-Precipitation (mm),Emergence,0
Macon,2020,dryland,Accumulated-Precipitation (mm),Vegetative,122.88
Macon,2020,dryland,Accumulated-Precipitation (mm),Squaring,191.74
Macon,2020,dryland,Accumulated-Precipitation (mm),Flowering,72.96
Macon,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,177.75
Macon,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,307.51
Macon,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,872.84
Macon,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,9.274444444
Macon,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,18.65315789
Macon,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,21.5425
Macon,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,22.1375
Macon,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,21.63058824
Macon,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,14.98277778
Macon,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,18.4979235
Macon,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,25.63111111
Macon,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.32131579
Macon,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,32.96666667
Macon,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,34.43583333
Macon,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,32.64117647
Macon,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,26.39092593
Macon,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.2484153
Macon,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,1184.726667
Macon,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2169.202632
Macon,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2573.990833
Macon,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2667.599583
Macon,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2594.260882
Macon,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,1780.475
Macon,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2203.50235
JeffDavis,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,74.79458395
JeffDavis,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,671.7263003
JeffDavis,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,462.0997467
JeffDavis,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,395.440814
JeffDavis,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,489.2384029
JeffDavis,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,571.26734
JeffDavis,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2664.567188
JeffDavis,2020,irrigated,Accumulated-Days Degree,Emergence,78.7
JeffDavis,2020,irrigated,Accumulated-Days Degree,Vegetative,571.138
JeffDavis,2020,irrigated,Accumulated-Days Degree,Squaring,457.581
JeffDavis,2020,irrigated,Accumulated-Days Degree,Flowering,441.58
JeffDavis,2020,irrigated,Accumulated-Days Degree,Cut-Out,631.181
JeffDavis,2020,irrigated,Accumulated-Days Degree,Opening Bolls,512.598
JeffDavis,2020,irrigated,Accumulated-Days Degree,Total Growing Season,2692.778
JeffDavis,2020,irrigated,Accumulated-Precipitation (mm),Emergence,31.12
JeffDavis,2020,irrigated,Accumulated-Precipitation (mm),Vegetative,89.97
JeffDavis,2020,irrigated,Accumulated-Precipitation (mm),Squaring,105.53
JeffDavis,2020,irrigated,Accumulated-Precipitation (mm),Flowering,85.94
JeffDavis,2020,irrigated,Accumulated-Precipitation (mm),Cut-Out,170.98
JeffDavis,2020,irrigated,Accumulated-Precipitation (mm),Opening Bolls,38.09
JeffDavis,2020,irrigated,Accumulated-Precipitation (mm),Total Growing Season,521.63
JeffDavis,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Emergence,19.678
JeffDavis,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Vegetative,20.20382353
JeffDavis,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Squaring,22.30958333
JeffDavis,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Flowering,22.44347826
JeffDavis,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Cut-Out,22.26911765
JeffDavis,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,16.615
JeffDavis,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,20.366875
JeffDavis,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Emergence,30.398
JeffDavis,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Vegetative,31.34029412
JeffDavis,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Squaring,34.14458333
JeffDavis,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Flowering,33.83
JeffDavis,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Cut-Out,31.72852941
JeffDavis,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,27.992
JeffDavis,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,31.3348125
JeffDavis,2020,irrigated,Mean-Vapor Pressure (Pa),Emergence,2296.948
JeffDavis,2020,irrigated,Mean-Vapor Pressure (Pa),Vegetative,2382.999118
JeffDavis,2020,irrigated,Mean-Vapor Pressure (Pa),Squaring,2696.082083
JeffDavis,2020,irrigated,Mean-Vapor Pressure (Pa),Flowering,2717.027391
JeffDavis,2020,irrigated,Mean-Vapor Pressure (Pa),Cut-Out,2691.302353
JeffDavis,2020,irrigated,Mean-Vapor Pressure (Pa),Opening Bolls,1924.65425
JeffDavis,2020,irrigated,Mean-Vapor Pressure (Pa),Total Growing Season,2426.21725
Brooks,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,184.2753596
Brooks,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,620.5557111
Brooks,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,450.5626452
Brooks,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,442.6204245
Brooks,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,529.7892381
Brooks,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,853.458717
Brooks,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,3081.262096
Brooks,2020,dryland,Accumulated-Days Degree,Emergence,80.014
Brooks,2020,dryland,Accumulated-Days Degree,Vegetative,580.457
Brooks,2020,dryland,Accumulated-Days Degree,Squaring,444.54
Brooks,2020,dryland,Accumulated-Days Degree,Flowering,440.698
Brooks,2020,dryland,Accumulated-Days Degree,Cut-Out,629.319
Brooks,2020,dryland,Accumulated-Days Degree,Opening Bolls,889.872
Brooks,2020,dryland,Accumulated-Days Degree,Total Growing Season,3064.9
Brooks,2020,dryland,Accumulated-Precipitation (mm),Emergence,0
Brooks,2020,dryland,Accumulated-Precipitation (mm),Vegetative,234.45
Brooks,2020,dryland,Accumulated-Precipitation (mm),Squaring,213.33
Brooks,2020,dryland,Accumulated-Precipitation (mm),Flowering,57.85
Brooks,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,148.42
Brooks,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,328.49
Brooks,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,982.54
Brooks,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,11.9425
Brooks,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,19.44444444
Brooks,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,21.735
Brooks,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,22.40086957
Brooks,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,22.51121212
Brooks,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,17.60292308
Brooks,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.67968254
Brooks,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,26.50875
Brooks,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.22611111
Brooks,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,32.73125
Brooks,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,33.76782609
Brooks,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,32.74212121
Brooks,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,27.744
Brooks,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.40354497
Brooks,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,1420.27625
Brooks,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2279.043889
Brooks,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2608.483333
Brooks,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2709.128696
Brooks,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2728.833333
Brooks,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,2089.333385
Brooks,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2350.15619
Berrien,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,115.5717061
Berrien,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,641.3660772
Berrien,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,453.708531
Berrien,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,431.3713197
Berrien,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,507.4237883
Berrien,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,559.4384591
Berrien,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2708.879881
Berrien,2020,dryland,Accumulated-Days Degree,Emergence,85.504
Berrien,2020,dryland,Accumulated-Days Degree,Vegetative,568.959
Berrien,2020,dryland,Accumulated-Days Degree,Squaring,456.168
Berrien,2020,dryland,Accumulated-Days Degree,Flowering,438.898
Berrien,2020,dryland,Accumulated-Days Degree,Cut-Out,624.252
Berrien,2020,dryland,Accumulated-Days Degree,Opening Bolls,515.434
Berrien,2020,dryland,Accumulated-Days Degree,Total Growing Season,2689.215
Berrien,2020,dryland,Accumulated-Precipitation (mm),Emergence,5.99
Berrien,2020,dryland,Accumulated-Precipitation (mm),Vegetative,175.19
Berrien,2020,dryland,Accumulated-Precipitation (mm),Squaring,92
Berrien,2020,dryland,Accumulated-Precipitation (mm),Flowering,57.88
Berrien,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,152.14
Berrien,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,125.51
Berrien,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,608.71
Berrien,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,16.79
Berrien,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,19.70285714
Berrien,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,22.26041667
Berrien,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,22.31391304
Berrien,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,22.27424242
Berrien,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,17.25410256
Berrien,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,20.2860625
Berrien,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,30.41166667
Berrien,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.66942857
Berrien,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,33.28208333
Berrien,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,34.20130435
Berrien,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,32.54636364
Berrien,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,27.78871795
Berrien,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,31.2443125
Berrien,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,1925.851667
Berrien,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2308.570857
Berrien,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2688.07875
Berrien,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2695.023043
Berrien,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2690.252121
Berrien,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,2022.114103
Berrien,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2415.5955
Coffee,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,67.24916126
Coffee,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,680.6691675
Coffee,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,462.5875406
Coffee,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,384.455862
Coffee,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,536.0880623
Coffee,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,664.3835325
Coffee,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2795.433326
Coffee,2020,irrigated,Accumulated-Days Degree,Emergence,70.151
Coffee,2020,irrigated,Accumulated-Days Degree,Vegetative,578.86
Coffee,2020,irrigated,Accumulated-Days Degree,Squaring,457.14
Coffee,2020,irrigated,Accumulated-Days Degree,Flowering,437.8
Coffee,2020,irrigated,Accumulated-Days Degree,Cut-Out,626.923
Coffee,2020,irrigated,Accumulated-Days Degree,Opening Bolls,611.824
Coffee,2020,irrigated,Accumulated-Days Degree,Total Growing Season,2782.698
Coffee,2020,irrigated,Accumulated-Precipitation (mm),Emergence,10.87
Coffee,2020,irrigated,Accumulated-Precipitation (mm),Vegetative,88.44
Coffee,2020,irrigated,Accumulated-Precipitation (mm),Squaring,68
Coffee,2020,irrigated,Accumulated-Precipitation (mm),Flowering,115.23
Coffee,2020,irrigated,Accumulated-Precipitation (mm),Cut-Out,166.78
Coffee,2020,irrigated,Accumulated-Precipitation (mm),Opening Bolls,115.78
Coffee,2020,irrigated,Accumulated-Precipitation (mm),Total Growing Season,565.1
Coffee,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Emergence,20.5975
Coffee,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Vegetative,20.37411765
Coffee,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Squaring,22.2975
Coffee,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Flowering,22.26086957
Coffee,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Cut-Out,21.05324324
Coffee,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,14.82056604
Coffee,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.35262857
Coffee,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Emergence,31.8575
Coffee,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Vegetative,31.68235294
Coffee,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Squaring,33.85333333
Coffee,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Flowering,33.58565217
Coffee,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Cut-Out,30.36
Coffee,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,26.6409434
Coffee,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.42782857
Coffee,2020,irrigated,Mean-Vapor Pressure (Pa),Emergence,2425.4075
Coffee,2020,irrigated,Mean-Vapor Pressure (Pa),Vegetative,2409.151765
Coffee,2020,irrigated,Mean-Vapor Pressure (Pa),Squaring,2694.116667
Coffee,2020,irrigated,Mean-Vapor Pressure (Pa),Flowering,2687.556087
